1,Tienda Sofia,no,si,diariamente,si,10,7,si,si,si,"Beneficios economicos, beneficios al cliente, que se abra la mente al cliente, innovador"
2,Tienda Johanita,no,no,no,no,4,3,si,si,si,Ninguna
3,Los Acasos,no,si,no,no,1,2,si,no,no,"Acompañar la contabilidad, capacitar"
4,,no,no,no,no,7,7,si,no,si,Inventarios
5,Tienda Prosperidad,no,si,mensualmente,no,10,10,si,si,si,Llevar el inventario. Que productos ha vendido y que no.
6,Panaderia Bumanguesa,no,si,diariamente,si,7,6,si,si,si,"llevar el registro de ventas, gastos"
7,Surtimercado Yuliana,no,si,mensualmente,si,3,5,si,si,si,"Adecuado registro, organizacion de datos, analisis de los elementos, identificar productos, inventario, aviso de productos que hacen falta o recibos a pagar, calendario."
8,Tienda Ramón,no,si,diariamente,no,10,10,no,no,si,Ninguna
9,Lizpan,no,si,no,no,8,8,no,no,si,Que sea facil de llevar la contabilidad
10,Panaderia la especial,no,si,no,no,8,10,si,no,si,"Publicidad, seguridad"
<<<<<<< HEAD
11,Tienda Ochoa,no,si,diariamente,no,4,5,no,si,no,Ninguna
12,Charcuteria Estrella,no,si,semanalmente,no,7,7,si,si,si,"Llevar inventario, registro de precios, control de ventas dinero que ingresa y sale."
13,Libreria la Muñeca,no,si,mensualmente,no,5,3,si,si,si,La manera de manejar el inventario
14,Tienda Mixta Miryam,no,si,diariamente,no,10,10,si,si,si,"organizar el dinero, seguridad."
15,Joel variedades,no,si,no,no,6,6,si,si,si,"Ingresar datos, para que vaya generando todo lo demas, de facil manejo, entendible, reporte "
16,Multiservicios LH,si,no,aveces,no,9,10,si,si,si,"Dinamico, llamativo, sencillo de manejar."
17,Tienda Mi Sofi,no,si,diariamente,no,2,5,si,si,si,"Ver el promedio de ventas, llevar la contabilidad, ganancias, que es lo que mas se vende, etc."
18,Ninguno,no,si,no,no,5,5,no,si,si,Llevar inventario y contabilidad de dinero.
19,Merkexpress la Feria,no,si,no,no,5,5,si,si,si,"Llevar cuentas claras, seguridad en la informacion, facilidad para buscar cuentas antiguas."
20,Panaderia La Feria,no,si,semanalmente,si,5,8,si,no,si,"domicilios, contabilidad-"
=======
>>>>>>> b5c31b02ba482707cef2c296d907a69cc8537be9
